song,artist,cluster
You're The One - Un mal pour un bien,Petula Clark,2
Doctor My Eyes,Jackson Browne,1
Falling in Love at a Coffee Shop,Landon Pigg,4
Peaceful Easy Feeling - 2013 Remaster,Eagles,1
Summertime Blues,Eddie Cochran,5
Running on Empty,Jackson Browne,2
"Come On, Let's Go",Ritchie Valens,6
Ain't That A Shame,Fats Domino,1
Johnny B. Goode,Chuck Berry,6
Great Balls Of Fire - 1964 Version,Jerry Lee Lewis,1
Come Go With Me,The Del-Vikings,3
All I Have to Do Is Dream,The Everly Brothers,4
Oh Boy!,Buddy Holly,6
Lyin' Eyes - 2013 Remaster,Eagles,6
Long Tall Sally,Little Richard,6
Runaround Sue,Dion,1
A Teenager In Love,Dion & The Belmonts,4
No Particular Place To Go,Chuck Berry,6
Whole Lot of Shakin' Going On,Jerry Lee Lewis,1
Heartbeat,Buddy Holly,4
C’Mon Everybody,Eddie Cochran,1
La Bamba - Single Version,Ritchie Valens,1
Tutti Frutti,Little Richard,3
Roll Over Beethoven,Chuck Berry,0
Bye Bye Love,The Everly Brothers,6
Hound Dog,Elvis Presley,2
The Wanderer,Dion,1
The Great Pretender,The Platters,4
I Wonder Why,Dion & The Belmonts,6
Chantilly Lace,The Big Bopper,1
Good Golly Miss Molly,Little Richard,1
Wake up Little Susie,The Everly Brothers,1
The Book of Love,The Monotones,0
"Shake, Rattle And Roll - Single Version",Bill Haley & His Comets,6
Jailhouse Rock,Elvis Presley,5
Donna - Single Version,Ritchie Valens,4
Blueberry Hill,Fats Domino,6
At the Hop,Angelo Grey Band,6
Yakety Yak - 2007 Remaster,The Coasters,0
Blue Moon,The Marcels,6
Take Good Care Of My Baby,Bobby Vee,4
Lucille,Little Richard,5
Little Darlin',The Diamonds,6
Love Potion No. 9 - Remastered / Single Version,The Clovers,6
Don't Be Cruel,Elvis Presley,1
Only You (And You Alone),The Platters,4
Splish Splash,Bobby Darin,1
The Twist,Chubby Checker,1
Lollipop,The Chordettes,5
Rockin' Robin,Bobby Day,6
School Day (Ring Ring Goes The Bell),Chuck Berry,6
All Shook Up,Elvis Presley,6
Under the Boardwalk,The Drifters,4
"See You Later, Alligator",Bill Haley & His Comets,6
Let's Twist Again,Chubby Checker,6
In The Still of the Night,The Five Satins,4
Smoke Gets In Your Eyes,The Platters,4
Do You Wanna Dance,Bobby Freeman,1
"Shout, Pts. 1 & 2",The Isley Brothers,2
You're Sixteen,Johnny Burnette,4
Get a Job,The Silhouettes,6
16 Candles,Johnny Maestro,4
16 Candles,The Crests,4
Please Mr. Postman - Single Version / Mono,The Marvelettes,1
Stay,Maurice Williams,3
Stay,The Zodiacs,3
Sherry,Frankie Valli & The Four Seasons,1
Be My Baby,The Ronettes,1
I Only Have Eyes for You,The Flamingos,4
We Belong Together,Ritchie Valens,4
Since I Don't Have You,The Skyliners,4
I'm Walkin',Fats Domino,6
Let's Have A Party,Wanda Jackson,1
The Locomotion,Little Eva,1
Party Doll,Buddy Knox,5
Big Girls Don't Cry,Frankie Valli & The Four Seasons,1
Save the Last Dance for Me,The Drifters,1
True Love Ways,Buddy Holly,4
Lonely Teardrops,Jackie Wilson,2
Rama Lama Ding Dong (Original version 1958),The Edsels,1
Heart and Soul,The Cleftones,2
Duke of Earl,Gene Chandler,4
Little Star,The Elegants,4
Come Softly To Me,The Fleetwoods,4
There's A Moon Out Tonight,The Capris,4
This Magic Moment,The Drifters,1
It's My Party,Lesley Gore,6
Speedoo,The Cadillacs,1
Speedoo,Navarro,1
Twilight Time - Single Version,The Platters,4
Sincerely,The Moonglows,4
Sweet Nothin's,Brenda Lee,1
You Send Me - Remastered,Sam Cooke,3
Whispering Bells,The Del-Vikings,6
Whispering Bells,Krips Johnson,6
Then He Kissed Me,The Crystals,1
I Get a Thrill - 2006 Remaster,The Honeydrippers,5
Sea of Love - 2006 Remaster,The Honeydrippers,4
I Got a Woman - 2006 Remaster,The Honeydrippers,6
